SPIRITWOOD WEST,4067723
CARDALE,5010550
BEAUSEJOUR 2,5030160
REPULSE BAY A,2403490
GIMLI CLIMATE,5031042
EMERSON,5020880
REDVERS,4016521
NORTH MOUNTAIN CS,8204161
MOUNT PLEASANT,8103300
ST NICHOLAS,8300560
LAKE HAZEN,2402682
LAKE CHARLOTTE,8202890
PORT HOOD,8204500
HENRIBOURG CDA EPF,4053200
LOST RIVER,4074640
VICTORIA BEACH (AUT),5032951
DUFF,4012270
MAPLE CREEK H S,4024940
HIGH POINT,4023240
KAMSACK,4013640
WINNIPEG MCPHILLIPS SLEDGE BEDS,502CKBD
CLIFTON,8200900
TOBIQUE NARROWS,8105400
DOAKTOWN AUTO RCS,8101201
ENNADAI LAKE,2301100
FLAP JACK,4032510
CYPRESS HILLS,4021996
BIRSAY,4020701
THE PAS,5052864
REGINA INTL A,4016566
LIPTON,4014480
WOODROW,4029030
NORTH JULIUS,503B0MF
MABOU,8203249
INGONISH BEACH,8202500
LAKE MANITOBA NARROWS,5041527
FORT WALSH,4032640
SMILEY,4047540
GILROY CDA EPF,4022840
ALLISTON SNOW,8300102
METEGHAN,8203498
MAITLAND,6104840
HALIFAX KOOTENAY,8202252
NINETTE,5022040
INDIAN HEAD PFRA,4013490
RUDDELL,4046977
CHOICELAND,4071560
PRINCE ALBERT A,4056241
MACGREGOR,5041684
RENOUS,8104300
SAINT JOHN BRIDGE,8104920
EAST WALLACE,8201695
GIMLI INDUSTRIAL PARK,50310D0
ORMISTON,4015680
ESTEVAN,4012390
RADVILLE MURRAY,4016402
RILEY BROOK,8104450
WATERVILLE CAMBRIDGE,8206222
SHELBURNE,8205126
SALMON HOLE,8205000
KINDERSLEY CDA EPF,4043904
WATCOMB,6039351
FORK RIVER,5040973
ISLAND FALLS (AUT),4063605
HARDY,4013108
FOAM LAKE,4012560
CARROT RIVER EXP ST,4071360
AUSTIN,5040128
RAVENSCRAG,4036440
OROMOCTO,8103800
MONCTON / GREATER MONCTON ROMEO LEBLANC INTL A,8103202
ST ANDREWS,5022547
FUNDY PARK (ALMA) CS,8101746
HOYT,8102230
WINNIPEG ST BONIFACE,5023230
NIPAWIN A,4075518
POINT EDWARD,8204455
CANTERBURY,8100775
ALERT UA,2400306
KAWENE,6024010
BROOKDALE,5010524
MATADOR,4025047
INGLIS,5011360
NINETTE COLE,50220D0
BROWN RIVER,2301331
HOEY,4053264
REGINA CDA,4016640
DONAVON,4052230
SIOUX LOOKOUT,6037768
THOMPSON SOUTH,5062925
RUTTAN LAKE,5062529
GLADSTONE SOUTH,50410N0
WINNIPEG CANGENE,5023282
FOXFORD,4052671
WAPELLA NEWFINLAND,4018508
LUSELAND,4044735
WAPELLA PIPESTONE,4018510
TURTLE MOUNTAIN 11,5022946
GLENBUSH,4042921
WINNIPEGOSIS,5043225
MEADOW PORTAGE,5041711
LANGRUTH WEST,5041535
KLEEFELD (MAFRI),5021500
ROSETOWN,4046879
PAMBRUN CDA EPF,4025860
WAPASHOE,4028500
RESOLUTE BAY A,2403497
DAVIN 3,4012162
MIAMI,5021732
KEELEY LAKE,4063650
WHALE COVE A,2303986
HERSCHEL,4043215
SOURIS,5012719
STONEWALL,5022788
BEATTY,4050480
YORKTON A,4019080
BIRD,5060220
FLIN FLON,5050919
ROSETOWN EAST,4046884
SIOUX LOOKOUT AIRPORT,6037800
LA RONGE A,4064155
MORDEN RADIO,5021854
RIVERS A,5012440
WINNIPEG CLARE AVE,5023200
STRANRAER,4047798
GYPSUMVILLE,5041229
WATROUS EAST,4018642
LOON LAKE CDA EPF,4064600
REGINA KING,4016673
LEBRET,4014280
WINNIPEG BLUMBERG GOLF COURSE,5023178
MANITOU STRANGE,5021687
DAWN LAKE,4062168
REGINA CO-OP UPGRADER SNOW,4016562
RESTON,5012400
LANDMARK,5021529
TURTLE MOUNTAIN 6,5012941
BARWICK,6020559
MONTREAL LAKE,4065260
ASSINIBOIA AIRPORT,4020286
BRANDON SOUTH,5010494
ZHODA,5023370
REGINA WHITMORE,4016780
THURSTON BAY,1068170
CASSIAR,1191440
COQUITLAM LAFARGE,110188H
ENTRANCE ISLAND,1022688
TRANSPORT TOWER,2101130
PORT COQUITLAM MARY HILL,110FKNF
MILLSTREAM,1015150
SALTSPRING ST MARY'S L,1016995
SIMPSON TOWER,2100960
PITT MEADOWS CS,1106178
CONUMA RIVER HATCHERY,1031844
SORRENTO,1167590
ENGEN,1092685
WHITEHORSE AUTO,2101310
KEITHLEY CREEK,1093920
TETE JAUNE,109QJ3G
HANEY UBC RF ADMIN,1103332
PORT HARDY BEAVER HR,1026274
HAZELTON,1073L4F
W VANCOUVER MILLSTREAM,1108840
ABBOTSFORD KING ROAD,1100037
ALICE ARM,1060330
WALHACHIN,116QF69
NIMPO LAKE 2,1085598
SUMMERLAND CS,112G8L1
HAZELTON TEMLEHAN,1073347
W VANCOUVER PALMERSTON,1108846
STAVE FALLS,1107680
GRASSY PLAINS,1083285
THOMPSON SOUND,1068159
NICKLEN LAKE,1125570
KELOWNA BOWES STREET,1123975
OSOYOOS EAST,1125855
WHITE ROCK STP,1108914
JAMES CREEK,2202625
RUMBLE BEACH,1036907
SANDON,1147020
INDIAN ARM FARRER COVE,110L6M7
DELTA TSAWWASSEN BEACH,1102425
ABBOTSFORD A,1100032
TRIPLE ISLAND,1068250
COURTENAY SANDWICK,1021994
FANNY ISLAND,1022795
AMPHITRITE POINT,1030425
PEACHLAND BRENDA MINES,1126077
CAMPBELL RIVER BCFS,1021262
MERRITT CRAIGMONT MINES,1125075
QUESNEL NAZKO ROAD,1096636
COQUITLAM COMO LAKE AVE,1101889
PENDER HARBOUR,1046115
ALEZA LAKE,1090300
CASSIAR MINE,1191442
100 MILE HOUSE 6NE,1165793
GALIANO ISL BURRILL PT,10130DE
GANGES MANSELL RD,1013051
PENTICTON SEWAGE PLANT,1126160
MACPHERSON,2100FRN
WATCH LAKE EAST,1168736
BOSTON BAR ALPINE,111090D
DAISY LAKE DAM,1042255
OK FALLS MCLEAN CRK,1125712
QUESNEL AIRPORT AUTO,1096631
KERSLEY,1094125
FARO A,2100527
APEX MTN LODGE,1120447
SEYMOUR FALLS,1107200
VANCOUVER HILLCREST,1108433
PEMBERTON BCFS,1086083
LYTTON RCS,1114746
VERNON SOUTH,112HEHD
HANEY PINE RIDGE CAMP,1103329
WOODPECKER,1098977
TRIAL ISLAND,1018238
VANDERHOOF,10984R0
TATLAYOKO LAKE RCS,1088015
VANCOUVER GRANDVIEW E,110HD45
SWANSON BAY,1067880
PARKIN,2100860
IVVAVIK NAT. PARK,2100660
GIBSONS,1043150
HANEY CORRL INSTN,1103324
WHONNOCK 269 ST,1108927
AVOLA,1160565
CLEARWATER AUTO,1161650
HEDLEY NP MINE,1123390
BAMFIELD EAST,1030605
HOPE KAWKAWA LAKE,1113550
ASH RIVER,1030550
KAMLOOPS PRATT ROAD,116C8P0
HAT CREEK,1163340
HOLLAND ROCK,1063496
LITTLE FORT,1164636
AISHIHIK A,2100100
SAYWARD,1027112
COLWOOD HATLEY DR,1011810
RUTH LAKE,1166912
MATSQUI ROSS ROAD,1104928
ESSONDALE,1102725
VICTORIA TILLICUM,1018660
SALTSPRING VESUVIUS,1017000
GRAND FORKS RAYFIELD,1133275
JAMES ISLAND,1013720
SMITH RIVER A,1197530
NORTH COWICHAN,1015630
VICTORIA NORTHRIDGE,1018651
ROBSON,1146810
BROOKMERE,1121090
BURNABY BC INST TECHNOL,1101142
ARMSTRONG OTTER LAKE,1120486
RUSKIN,1106910
GRANITE CREEK,1123280
LANGLEY CENTRE,1104554
PORTER CREEK WAHL,2100907
SHERINGHAM POINT,1017254
ETHELDA BAY,1062745
OKANAGAN FALLS,1125701
BURNABY CAPITOL HILL,1101146
VANCOUVER KITSILANO,1108453
BOWEN ISLAND MILLERS LDG,1040R09
WATCH LAKE NORTH,1168739
SQUAMISH STP,1047670
STEWART RIVER,2101033
ESQUIMALT HARBOUR,1012710
CAMERON LAKE,1021230
KLEENA KLEENE 2,1084351
KELOWNA,1123930
BOSWELL,1140905
WEST REDONDA ISLAND,1048816
CYPRESS BOWL SOUTH,1102256
ALBERNI ROBERTSON CREEK,1030230
MULE CREEK,1205248
HANEY EAST,1103326
VICTORIA LANSDOWNE,1018640
GOLDEN HORN,2100615
PITT POLDER,1106180
VERNON SILVER STAR LODGE,1128584
MAPLE RIDGE,1104902
FORT NELSON ALPINE RD,1192942
BRENTWOOD W SAANICH RD,1010965
PATERSON,1146000
VEDDER SOUTH LICKMAN,1108530
GENESEE RIVER,1063086
TURTLE VALLEY,1168300
FORT NELSON A,1192946
VICTORIA ROWLEY ROAD,1018657
ROCK CREEK MT BALDY,1136813
LIKELY,1094616
ZEBALLOS MURAUDE CREEK,1039035
TERRACE GOSSAN CREEK,106H130
DESERTED BAY,1042470
TERRACE PCC,1068131
DEASE LAKE,1192340
COURTENAY GRANTHAM,1021988
CYPRESS BOWL FREESTYLE,1100004
QUINSAM RIVER HATCHERY,1026639
LUMBY SIGALET RD,1164730
ADAMS LAKE SKWAAM BAY,1160075
LANGLEY SOUTH,110456B
LYTTON,7034395
KELOWNA CEDARCREEK,1123981
CALLAGHAN VALLEY LOW LEVEL,1101318
PRINCE RUPERT FERN PASS,1066484
COLLINS LAKE,1071785
ST HILARION,704GC09
PEMBROKE FORESTRY STN,6106365
TROIS-RIVIERES,7018563
MONTEBELLO (SEDBERGH),7035110
WOLFE ISLAND,6109558
RICHMOND HILL 2,6157015
LEONARD,6104400
WAWA,6059409
PORT ARTHUR,6046588
LAVALTRIE CDA,7014260
VIMY RIDGE,7028770
TORONTO INTL A,6158731
BURLINGTON ELIZABETH GDN,6151057
NORANDA LAKE DUFAULT,7085600
SHERMAN BROOK NORTH,702HACH
TRETHEWEY FALLS,6118920
BORDER (AUT),7110831
PEFFERLAW,6116308
CAPE DORSET A,2400637
CULLODEN EASEY,6141933
NIAGARA FALLS ONT HYDRO,6135660
HEROUXVILLE,7013100
RIDEAU CANAL WOLFE LAKE,6107119
SAND LAKE,6057437
NOTRE DAME DES BOIS,7025670
CALEDONIA,6131081
SUCKER POND NORTH,702HBHG
SHAWINIGAN,7018000
VIOLET HILL,6149148
RIVIERE-DU-LOUP,7056616
WOODSTOCK WATERWORKS,6149645
CORAL HARBOUR A,2301000
CROMARTY,6141919
LAC ALLARD,709CNEN
ST PIERRE DE BROUGHTON,7027656
GERALDTON,6042715
POPLAR MILLS,6146563
BINBROOK,6130740
VALCARTIER A,7018574
ST HERMENEGILDE,7027308
PARKE,7055808
ST JEAN CHRYSOSTOME,7027391
PEMBROKE EDDY MATCH,6106362
BARRAGE CABONGA,7080449
DRUMMOND CENTRE,6102J13
GRANDES BERGERONNES,7042840
TORONTO ASHBRIDGES BAY,6158370
STE MADELEINE,7027517
TORONTO SHERBOURNE,61587PP
PUVIRNITUQ A,7106223
DUTTON,6132175
HYBLA MARSHALL,6163677
SMITHVILLE,6137838
LAC SAINT-PIERRE,701LP0N
TORONTO BOOTH,6158406
LAURIERVILLE,7024250
BAIE DES SABLES,7050MM5
PORT DOVER,6136643
GRAND FONDS,7042870
ST TITE DES CAPS,7047762
TERRACE BAY,6048230
ST ROMUALD,7027700
ILE AUX COUDRES,704CBGH
MONTREAL/ST-HUBERT A,7027322
MISSISSAGI ONT HYDRO,6055210
MAGNETAWAN,6114805
STE AGATHE MANOR HOUSE,7036780
BARRAGE MERCIER,7030457
AMOS,7090120
ST FRANCOIS DE LAVAL,702G266
PETROLIA TOWN,6126499
EAST BALTIC,8300416
SAINT JOHN LORNEVILLE,8104923
SPRYFIELD,8205315
UPLANDS,6119064
MERIVALE CDA,6105061
HAM NORD,7022985
MANIWAKI UA,7034480
LINDSAY,6164430
QUEENSBORO,6166800
HOLLAND LANDING,6153475
HOUND CHUTE,6073600
GOGAMA TREE NURSERY,6062860
GORE BAY-MANITOULIN,6092919
GLENCOE,6142819
STE-CLOTILDE,7027039
ROTHESAY,8104477
SHEARWATER AUTO,8205091
SAINT JOHN,8104800
NEW GRAFTON,8204000
SEA COW POND,8300570
LYONS BROOK,8203230
ANTIGONISH SNOW,8200152
ECUM SECUM,8201700
CASTLETON,6151264
BIG TROUT LAKE A,6010735
MONT LAURIER,7035158
PURDY,6106779
HOLLAND MARSH,6153477
POINTE DE L'ISLET,7046059
POINTE CLAVEAU,704607C
OBIDJUAN,7075720
DELHI CDA,6131982
MAPLE GROVE,611DR50
STE CROIX,7027088
CLERMONT,7041717
CHUTE A MURDOCK,7061480
MINASVILLE,8203578
CHARLO A,8100880
ILES DE LA MADELEINE,7053KGR
SAINT-GERMAIN-DE-GRANTHAM,7027470
TRENTON DOMTAR,6158878
LATERRIERE,7064181
MAPLE,6154950
BARRIE (AUT),6110552
CAMPBELLS CROSS,6151140
POINTE NOIRE CS,704Q003
VANDORF,6159AC0
FULLARTON,6142627
TWEED,6159010
ST ELMO,6107310
LAC POISSON BLANC,7033685
ST CASSIEN DES CAPS,7046931
ARTHABASKA,7020305
LONG BRANCH,6154520
CONNAUGHT,6071855
ELORA RCS,6142286
STE ROSE DU DEGELIS,7057720
OSKELANEO 1,7075751
CAUSAPSCAL,7051200
CHATEAU RICHER,7041330
ANTICOSTI SW POINT,7050200
MCDONALDS CORNER CDA,8102700
ST. STEPHEN,8104935
BON ACCORD,8100566
HILLSBOROUGH,8102220
KEJIMKUJIK 1,8202592
ST FLAVIEN,7027259
OMPAH,6105760
ARNPRIOR GRANDON,6100345
FORT RUPERT,7092524
MUSKOKA A,6115525
SACRE COEUR DE MARIE,7026739
ST ISIDORE D'AUCKLAND,7027372
OTTAWA U OF O,6106105
RED CEDAR LAKE DAM,6086930
TORONTO STUART AVENUE,6158778
HAVRE AUX MAISONS,7053010
FERLAND,7062368
PICKERING AUDLEY,6156515
ASHTON HILL,8100400
ROBICHAUD,8104458
BERTRAND,8100518
DIGBY AIRPORT,8201601
JACKSON,8202565
PORT CREWE,6136619
INUKJUAK UA,7103282
GLANWORTH CFPL,6142798
BARRAGE MITCHINAMECUS,7030462
WABAGISHIK,6069165
COLLEGEVILLE AUTO,8201001
ST ISIDORE,8104750
COLES ISLAND,810JAE0
SUNSHINE CS,3056267
LA MALBAIE,7043960
STEWARTOWN,6158025
BANCROFT L'AMABLE,6160468
WINDSOR FORD PLANT,6139533
BRADFORD 2,6150858
TROWBRIDGE (AUT),6048955
WINDSOR SOUTH,6139535
ILE BOUCHARD,7013279
WESTMINSTER,6149454
TORONTO NEWTONBROOK,6158753
CRYSTAL FALLS,6081930
PORQUIS JUNCTION A,6076575
TORONTO TORBARRIE,615H779
TROUT CREEK,6118938
ELLIOT LAKE STANLEIGH,6052268
ST EMILE DE SUFFOLK,7037175
PETROLIA,6126497
NOTRE DAME DU LAUS,7035680
TORONTO CURRAN HALL,6158415
PORT BURWELL,6136597
THORNBURY SLAMA,611HBEC
OTTAWA NEPEAN,6106080
PINE GROVE,6156545
NORTH GOWER,6105710
PRESTON,6146711
WILDER LAKE,6119511
PORT COLBORNE (AUT),613F606
ELORA AUTOMATIC CLIMATE STATION,614B2H4
RAVENSHOE,6116902
ABITIBI POST,7090050
GLOUCESTER KETTLES,6102840
OTTAWA HOGS BACK,6105995
ST PACOME,705GE9G
BINGHAM CHUTE,6110745
BARRIERE N CHIBOUGAMAU,7060474
ST DAMASE DES AULNAIES,7057090
STAYNER,6117998
KITCHENER CITY ENG 2,6144241
GORE BAY,6092915
BONNARD 1,7060826
STE BEATRIX,7016902
VALLENTYNE,6119129
BARRAGE MITIS,7050463
CREWSONS CORNERS,6151915
TORONTO DUNN LORING WOOD,6158480
CHARLINCH,6111375
ST JEROME,7037400
NORMANDIN,7065639
BRANTFORD AIRPORT,6140942
CORTEREAL,7051940
MONTAGUE,8300445
GLENCOLIN,6132830
KINGFISHER LAKE,6044138
MOSSLEY,6145497
TRENTON ONT HYDRO,6158885
PINERY,6126552
NORTH BAY NIPISSING(AUT),6085703
STE FOY MATAPEDIA,7017B65
MONTEBELLO SEIGNIORY,7035112
SCHREIBER,6047627
MIQUELON,7094985
DECEPTION BAY,7111955
BARRAUTE,7090470
DOG LAKE DAM,6042036
FORESTVILLE,7042378
HARLEY,6143355
AYLMER 2,6130415
TORONTO VICTORIA,6158780
KIPAWA LANIEL,7083480
RAPIDE BLANC,7076360
WINDSOR RIVERSIDE,6139520
STE DOROTHEE,7027110
PORT DANIEL,7056120
ELLIOT LAKE A,6052259
OTTAWA ALBION RD,6105910
ROBERTS LAKE,6117167
PEAWANUCK A,6016298
PETERBOROUGH A,6166415
ST. ALBERT,6107276
BLENHEIM,6120795
GRIMSBY CHATEAU GAI,6133052
NAVAN,6105576
TORONTO HUMBER BAY,6158645
WINDSOR UNIVERSITY,6139538
SANMAUR,7077790
PETERBOROUGH ONT HYDRO,6166443
GRINDSTONE ISLAND,7052960
CRESSY,61519JM
DUNNVILLE,6132144
WEST DITTON,7028906
NIPISSING,6115669
CAP CHAT DELVAL,7051041
CHAPLEAU,6061358
DELHI CS,6131983
HAWK JUNCTION,6053391
GORES LANDING,6152950
UPPER NOTCH,6079068
JANETVILLE,6153853
PETIT LAC,7026005
SHANNONVILLE,6157683
ST FRANCOIS IO,704GBFF
SHARON,6157685
DONA LAKE,6012064
ST COEUR DE MARIE,7067060
ST FERDINAND,7027248
LA GRANDE 4 A,7093714
STRATHROY,6148120
WESTERN ISLAND (AUT),6119M51
RIVIERE AUX FEUILLES,7116505
GRANDE VALLEE,7052865
PETAWAWA HOFFMAN,610FC98
ST FAUSTIN,7037230
SMITHS FALLS,6107834
SAINT-MICHEL-DES-SAINTS,7077571
GORMLEY ARDENLEE,6152953
TORONTO GLENVIEW,6158567
LONGSTAFF BLUFF,2402684
STE FOY (PIE XII),7017BFN
SENNETERRE A,7097902
ALLAN PARK,6110210
FRANZ,6052563
ANGUS CAMPHILL,6110275
BETHANIE,7020750
ST MATHIAS,7027550
ROUGE HILLS,6157190
TORONTO SANCTBURY,6158771
BLACKSTOCK,6150790
ONE ISLAND LAKE,6045781
QIKIQTARJUAQ AWOS,2400571
LA MACAZA A,7033940
BENNY,6060725
VICTORIAVILLE,7028720
HILLSBURGH,6143465
WELLAND,6139445
CENTRETON,6151307
BLOUGH LAKE,7040814
ARDEN,6100310
BELLEVILLE PAR LAB,6150717
RAVENNA,6116899
BRITT (AUT),6110967
PERIBONCA,7065960
CAPE DYER A,2400654
MILFORD BAY,6115150
FORT SEVERN A,6012501
CAP-D'ESPOIR,7051050
ALTON,6150243
ACTON BEARDMORE,6150039
LUCEVILLE,7054355
PINARD,6076540
MILE 134,7044960
MANVILLE REEVES,6064942
NIAGARA FALLS,6135638
TALOYOAK A,2403855
FORT MACLEOD NORTH,30326QF
MEDICINE LODGE LO,3034489
RAINIER AGCM,3035355
ACADIA VALLEY,3020018
KINUSO RS,3063646
MEEKWAP,3074494
AURORA LO,3010410
WIMBORNE AGCM,3027582
IRON RIVER,3083480
ST. JOHN'S INTL A,8403505
CHANNEL,8401125
CAPE NORMAN,8400940
NORTH WEST RIVER,8502876
LAMALINE,8402516
BUCHANS A,8400700
BURNT POND,8400812
HENDRICKSON CREEK,3063135
PECTEN,3055090
LITTLE BUFFALO TOWER,307CR22
MAYERTHORPE 2,3064284
BOYLE,3060780
WADLIN LO,3076913
WETASKIWIN AGCM,3017282
VIRGINIA FALLS,2203943
GRANDE PRAIRIE A,3072921
KITSCOTY,3013650
INVERMERE,1153655
GRANDE PRAIRIE,3072910
WORSLEY-KOZACK,3077661
HUCKLEBERRY LO,3063354
ST VINCENT,3015685
CRANBROOK MT BAKER,1152104
KITSCOTY AGCM,3013660
FORT RELIANCE,2201900
CHUNGO LO,3051585
HOLDEN AGDM,3013340
SPRINGDALE,3026080
GRANDE CACHE S.T.P.,3072895
EAGLE LAKE PARK,3032AM9
TULLIBY LAKE NORTH,3016592
GAMETI AIRPORT,2203361
KEATS POINT,2202663
WARNER AGCM,3046951
BASHAW,3010535
ENTWISTLE,3062451
LETHBRIDGE CDA 2,3033892
EVANSBURG2 AGCM,3062476
ATIKAMEG,3070400
PEACE RIVER CKYL,3075045
ROLLA GOLATA CREEK,1186842
FERNIE,1152850
FERNIE 2,1152852
SACHS HARBOUR CLIMATE,2503648
ELMWORTH CDA EPF,3072321
ROSEMARY AGDM,3035650
CONKLIN LO,3061800
GOOBIES,8401880
HOWLEY,8402415
SAGLEK,8503249
FORT ASSINIBOINE,306KFE3
BLACKIE 2W,3030GJJ
TULLIBY LAKE AGCM,3016593
CEREAL AGCM,3021463
WAGNER,3066920
RAYMOND AGDM,3035422
GROUND ZERO AFS,3062968
CHRISTINA LO,3061580
FORT LIARD A,2201581
FINLAY FORKS,1182880
FORT CHIPEWYAN A,3072658
RACE ROCKS,1016640
BARRIERE NORTH,1160673
COURTENAY PUNTLEDGE,1021989
SALMON ARM 2,1166946
PRINCE RUPERT R PARK,1066492
JEFFREY'S,8402474
CHURCHILL FALLS,8501130
BLUEHILL LO,3050725
PINE PASS,1186171
LESLIEVILLE CDA EPF,3023800
OBED LO,3064910
DICKSON DAM,3022078
YELLOWKNIFE-HENDERSON,2204110
ALGAR LO,3060110
BEATTON RIVER,1180749
COLUMBIA ICEFIELD,3051740
LETHBRIDGE CDA,3033890
BEISEKER VILLAGE,3020608
DUCHESS,3022143
DOIG LO,3072093
SADDLE HILLS LO,3075688
WHALLEY BALL PARK,1108885
TRAIL SUNNINGDALE,1148212
MAYO A,2100701
MAKKOVIK,8502589
TWIN FALLS,6079040
PORT AUX BASQUES,8402980
WESTBROOK ST LAWRENCE,8404201
ST ANTHONY,8403400
TERRA NOVA COMMUNITY,8403850
DUNVILLE,8401528
HARBOUR BRETON,8402071
WOLVERINE RIVER,1188971
GRANDE PRAIRIE CR21X,3072915
CASTLE MOUNTAIN VILLAGE,3051424
FINCASTLE AGDM,3032550
HALFWAY RIVER,118CCB1
WINNIFRED,3037600
CHAPEL ROCK,3051478
DAWSON CREEK RADIO BCN,1182290
TUKTOYAKTUK,2203910
VIKING NORTH 2,3016844
PARSON COLUMBIA MINES,1175982
PORT COQUITLAM CITY YARD,1106256
TELKWA ROUND LAKE,1078080
QUATSINO,1036570
MCBRIDE ELDER CREEK,1094948
SEWALL MASSET INLET,105PA91
REVELSTOKE AIRPORT AUTO,1176755
WHALESBACK,8404225
MUSGRAVE HARBOUR,8402770
DANIELS HARBOUR 2,8401410
RIGOLET,8503090
ST LAWRENCE,8403615
BATTLE HARBOUR LOR,8500398
MUSKEG RS,3074743
LA CRETE AGCM,3073730
LONE PRAIRIE,1184716
DUNCAN KELVIN CREEK,1012573
MALIBU JERVIS INLET,1044840
SICAMOUS 2,1167276
MOUL CREEK CLEARWATER,1165210
LARDEAU,1144580
FARO (AUT),2100518
COLD LAKE SNOW,3081682
VENICE,3066770
NEWBROOK,3014800
OYEN CAPPON,3024961
SCHULER,3025764
KNIGHT LAKE,3043667
TULLIBY LAKE EAST,3016591
NACO,3014760
HAZELTON 2,1073349
SUMMIT LAKE,1197860
HELLS GATE,8202350
VICTORIA MUSGRAVE STREET,1018644
RANCHERIA,2100932
MERRY ISLAND LIGHTSTATION,1045100
SAANICHTON CDA,1016940
VAVENBY,1168520
KELOWNA UBCO,1123996
HINES CREEK,3073315
SHELL HARTLEY RIVER,3065884
MARMOT BASIN,305421B
VULCAN SMITH,3036884
GREAT SLAVE LAKE BUOY,220KLML
MONARCH,3034596
WILDWOOD,3067560
STEFANSSON ISLAND,2403756
ALDER FLATS LO,3010080
REDWATER SOUTH,301R001
COPPERMINE,2300900
BIG VALLEY,5040214
MINISTIK LAKE,3014560
BRENTWOOD CLARKE ROAD,1010961
ALKALI LAKE,1090335
MABEL LAKE,1164770
CAMPBELL LAKE,1021250
LAC LE JEUNE WALLOPER LK,1124460
WHALLEY FOREST NURSERY,1108890
CYPRESS RIVER RCS,5010641
SPRUCE TCPL 43,5032764
KYLE SOUTH,4024122
SENATE,4037360
BRABANT LAKE,4060790
KEG LO,3073642
ANDREW AGDM,3010237
CODESA LO,3071677
HINES CREEK RS,3073323
ROCKY MTN HOUSE,3015520
NANGMAGVIK LAKE,2500440
KOOTENAY NP KTNY CRSG,1154400
SANGUDO ROYDALE,3065723
RED EARTH LO,3075491
REGINA GILMOUR,4016651
RAPID CITY,501233B
SMOOTH STONE RIVER,4067576
BRAINTREE 2,5030335
NORWAY HOUSE FORESTRY,506B0M7
FIVE MILE CREEK,3032624
BALDONNEL,1180585
DELINE CS,2201022
MORRIN,3024665
MAJORVILLE,3034166
COLEMAN RS,3051725
GOLDEN VALLEY,301B8LR
GARDEN RIVER,3072768
CARROT CREEK LO,3061360
BALLATER,3070493
PINE PASS MT LEMORAY,1186A71
ADAIR LO,3070043
REES TOWER,307NM9J
STONY MOUNTAIN,5022791
OXFORD HOUSE A,5062059
DAUPHIN CS,5040681
BIG BEAVER,4030594
KELWOOD,5041425
TUNDRA MINE,2203920
BALLATER AGCM,3070495
EDMONTON NAMAO A,3012210
RAINBOW LO,3075L48
LOUSANA,3024000
CLARESHOLM EXP FARM,3031652
TROCHU 2,3026521
ATMORE AGDM,3060406
HINTON,3063340
CAMERON COULEE,3031151
FORT ST JOHN PINEVIEW,1183032
BURNSTICK LO,3020975
ETZIKOM AGCM,3032450
JEAN COTE AGCM,3073535
METISKOW CDA EPF,3014520
AIRDRIE,3030060
BARRIER LAKE,3050533
ROSE PRAIRIE,1186868
FORT GOOD HOPE A,2201400
REGENT,5012340
GILLAM,5061000
MELFORT,4055079
BOVINE CREEK AFS,3060756
LETHBRIDGE CCOC,3033898
BANFF SPRINGS,3050526
DONALDA SOUTH,3012095
THREE ISLE LAKE,305FMQQ
JASPER WARDEN,3053536
MIETTE HOT SPRINGS,305MNKM
MCLENNAN CDA EPF,3074320
LACOMBE CDA 2,3023722
HARMATTAN,3023055
SEVEN PERSONS RIVERS DEV,3035850
BITTERN LAKE,3010704
BARONS AGCM,3030529
CRANBROOK CITY,1152J02
GRAVE FLATS LO,3052940
ECONOMY LO,3072160
BLACKIE,3030GAA
BIRDS HILL PINE RIDGE,5020224
MOSS SPUR,503196F
TURTLE MOUNTAIN 12,5022947
BRANT,3030798
JASPER-HINTON,3063526
SPILLIMACHEEN,1177640
CALDWELL,3031000
HIGH PRAIRIE AGDM,3063165
WARNER WEST,3046953
WESTWARD HO,3027260
CASTOR,3011440
BROOKS,3030QLP
SHUNDA RS,3055890
MA-ME-O,3014178
BITUMONT LO,3060705
LINDBURG LANDING,220N003
MARIANA LAKES,3064209
DEL BONITA EXP ST,3042056
BREMNER,3010810
CANOE RIVER,1171313
SWAN DIVE LO,3066280
ARMADA EXP ST,3030300
LAC LA BICHE A,3063684
RALSTON AGCM,3035362
SAND RIVER LO,3065710
YOHO NP WEST GATE,117R009
SIMONETTE LO,3075940
VONDA,4058494
TISDALE SOUTH,4078084
OAKVILLE,6155744
PORT NELSON,5062327
DAVIDSON 17NORTHEAST,4012125
GYPSUMVILLE EAST,5041233
HARRIS,4053120
WILCOX,4018920
LENSWOOD EXP ST,5041560
ROBLIN NORTH,5012473
GAMETI,2203359
ENTRANCE RS,3062445
SAVANNA AGCM,3075770
TWO BAR LAKE,3026646
STETTLER AGDM,3016124
VERMILION A,3016800
TONY LO,3066500
COPTON LO,3071860
WRENTHAM AGDM,3037675
RAINIER,3035350
MARTENSVILLE,4055043
FORT WHYTE CENTRE,5020990
HODGEVILLE 2,4023263
RORKETON WEST,5042485
RAM FALLS,3055379
LETHBRIDGE AGTECH AGCM,3033877
WATERTON DAM,3056984
EDSON CLIMATE,3062246
FORT KENT CDA EPF,3082660
COWPAR LO,3061930
HIGH PRAIRIE,3063160
HAINES JUNCTION YTG,2100631
EDMONTON SMITH WATER TREATMENT,3012234
